case,GT_sub_fat_vol,GT_muscle_vol,JF_sub_fat_vol,JF_vis_fat_vol,JF_muscle_vol,TS_sub_fat_vol,TS_vis_fat_vol,TS_muscle_vol
case_141,2931.194305419922,983.5290908813477,2759.0084075927734,4783.563613891602,920.6581115722656,2894.1869735717773,4783.34903717041,707.6787948608398
case_142,885.8094787597656,467.5852279663086,786.69091796875,1735.624168395996,442.89923095703125,843.4386901855469,1785.2467956542969,339.55846405029297
case_143,6652.842392020674,1760.179730085444,5857.51263779065,6241.9918261207295,1620.8725352382621,6241.4770776372425,6202.361611297226,1378.5668780476308
case_144,829.8783874511719,432.69962310791016,734.5784149169922,733.3150100708008,410.78517150878906,771.1399841308594,823.786262512207,339.73463439941406
case_145,2221.1076126098633,1219.8471450805664,2084.6356353759766,2140.8825073242188,1087.9922180175781,2197.8128967285156,2222.443778991699,970.6455001831055
case_146,1410.1361389160156,1142.5973510742188,1252.5089721679688,2184.6590881347656,982.3375854492188,1299.7004699707031,2363.534912109375,886.4096374511719
case_147,1705.2942601776124,550.501556968689,1563.3951441192628,2534.61142326355,516.8105472183228,1629.2780383872987,2564.5613971710204,405.0565895462036
case_148,514.739990234375,753.3843994140625,428.3721923828125,2668.9361572265625,720.0836181640625,462.78076171875,2598.4832763671875,620.6573486328125
case_149,2356.568193149567,1135.9302019882202,2192.8286485671997,2748.572866859436,1053.250775089264,2361.797987213135,2917.802511997223,811.1015061950684
case_150,1194.8555697527988,1758.420281636882,1065.8756829508325,2319.4566241832713,1538.5044793418442,1184.5355262796627,2440.038909557538,1410.0947150375928
case_151,2781.2910079956055,3170.952796936035,2434.6923828125,13257.684707641602,2889.418601989746,2774.96337890625,12848.219871520996,2523.188591003418
case_152,1814.5377585797605,2505.5078042268083,1552.2806598924476,3713.18555497209,2291.149905684459,1732.2945526186113,3787.4769122836824,2098.1536937472806
case_153,528.3238677978516,380.9963836669922,460.5077362060547,1728.530776977539,393.11890411376953,484.75614166259766,1697.8190460205078,311.97237396240234
case_154,1408.8183440971375,2564.98573343277,1148.0022757148743,5970.897355670929,2335.6352248573303,1341.8696076011659,5934.24237405777,2155.9421146011355
case_155,1855.0377022171022,2047.5667507362366,1622.0179938316346,7579.243529319763,1770.2971428871156,1855.406185646057,7692.998615570068,1537.0683910179139
case_156,2088.778897705078,2420.803278808594,1714.0374096679689,5477.133856201172,2174.0067333984375,1931.7155822753907,5502.032589111328,1977.9760437011719
case_157,508.22551751922236,724.8491262872835,409.00165730103737,1825.2707041590352,673.6157950420812,434.8446933433224,1837.1339864784036,591.5703209810454
case_158,1129.643548957963,1701.0007599805665,929.5968700301976,2052.700864337076,1396.3321882553466,1032.955876539029,1791.1598593683168,1256.7969803874291
case_159,3062.932252883911,2255.507230758667,2884.5309734344482,6341.023635864258,1898.3752250671387,3114.716148376465,6182.104110717773,1719.5019721984863
case_160,1940.12451171875,1767.8619384765625,1668.2830810546875,6425.3997802734375,1538.4063720703125,1892.919921875,6534.5245361328125,1317.93212890625
case_161,2461.2319470214843,2742.5434216308595,2180.9045825195312,4394.411669921875,2522.9188488769532,2369.517685546875,4491.019050292969,2318.3748205566408
case_162,1767.281044063568,2609.9832831954955,1459.0240218544006,7339.732513179779,2365.2264538955687,1731.6357256507874,7299.607497253418,2059.8994999313354
case_163,4692.7001953125,2935.84130859375,4421.63232421875,8224.41357421875,2638.0283203125,4811.73046875,8439.134765625,2203.58056640625
case_164,2538.908197402954,1368.6464939117432,2424.6046829223633,4994.232292175293,1201.1959953308105,2440.113962173462,5074.9639682769775,792.7386283874512
case_165,697.9427490234375,694.3584594726562,592.2507019042969,1672.6890563964844,674.6003723144531,639.0096130371094,1785.4483337402344,548.1293334960938
case_166,2030.0044921875,2505.043457336426,1723.772441711426,8115.904217834473,2167.7574353027344,1989.4210235595704,8077.476890258789,1941.297986755371
case_167,541.3353042602539,1022.3058052062988,406.35137367248535,4701.21129989624,1004.1582412719727,461.7889175415039,4695.56858253479,849.0474872589111
case_168,1536.8807315826416,1914.4931197166443,1246.1825489997864,6443.254470825195,1695.333445072174,1426.82546377182,6510.672581195831,1504.034686088562
case_169,556.2093200683594,610.73095703125,462.8449401855469,5105.075225830078,554.9796752929688,520.1914367675781,5001.127777099609,443.085693359375
case_170,759.445482788086,699.6220175170898,616.8268405151367,2927.8503369140626,663.4401278686523,701.668567199707,2985.904437561035,515.5965472412109
case_171,649.2284469604492,872.613208770752,500.6220932006836,3715.0517864227295,812.3424072265625,582.829252243042,3691.4912872314453,655.5918445587158
case_172,639.2832345962524,738.5719585418701,539.5930867195129,2552.363925933838,710.4987244606018,573.3030819892883,2609.85889005661,599.9821491241455
case_173,513.6943359375,606.3662109375,417.6474609375,1939.91748046875,563.4755859375,460.97314453125,1907.37158203125,463.833984375
case_174,783.1048965454102,859.7040176391602,639.2908096313477,6188.778877258301,816.0305023193359,722.5418090820312,6050.868034362793,664.5631790161133
case_175,1812.9253387451172,1078.3910751342773,1612.839698791504,6217.136383056641,994.3008422851562,1790.9526824951172,6224.656105041504,725.703239440918
case_176,508.4662170410156,500.64024353027344,417.46488189697266,772.204216003418,474.0130920410156,452.4092330932617,826.9557495117188,401.04917907714844
case_177,948.34423828125,783.23291015625,838.32275390625,4509.4833984375,734.14599609375,932.90625,4419.41748046875,581.40087890625
case_178,3348.5750205230715,2107.5303009033205,2996.1490312957762,8788.340540618896,1718.343759613037,3273.1814807891847,8697.619435043334,1480.32438621521
case_179,880.7515923118591,940.7960934066773,771.095956325531,5359.591502952576,901.0918704605102,842.154518623352,5390.049274749756,722.8057430267335
case_180,1238.6988646697998,1083.079844970703,1059.6631141662597,3441.974106903076,1030.0202639007568,1161.5568029785156,3386.4485341644286,842.2414520263673
case_181,2989.493485736847,1976.5918691825866,2707.912738723755,6906.116073188782,1767.6480816650392,2900.805002861023,7067.742897491456,1535.5879086112977
case_182,814.1452922741424,772.7462428415454,713.6573460720434,3252.211073443853,709.0116389376973,791.4349061878753,3194.1849345475143,584.1442035165833
case_183,3727.989139706523,2841.1343726337154,3448.947427651331,9373.488361342683,2479.403593610504,3804.3216056833826,9374.088680095845,2046.1380573554738
case_184,1467.321297225952,1323.270826034546,1258.185930633545,8191.180414352417,1204.8829410552978,1400.7424143218993,8040.1601808929445,942.7584203338623
case_185,1042.3707962036133,708.3415985107422,881.9484710693359,2747.321128845215,670.1564788818359,986.7429733276367,2713.322639465332,518.4602737426758
case_186,536.4301834106445,635.6984024047852,431.4632034301758,1862.8087310791016,602.6964416503906,475.2209701538086,1841.2285079956055,516.9728698730469
case_187,794.0108806037903,735.2802550506592,693.6226552963257,2844.7801663398745,710.3515962028504,729.4658035659791,2941.386373806,595.3135192108155
case_188,641.3488388061523,683.6056518554688,550.9150695800781,2534.784797668457,608.0681533813477,632.6725769042969,2556.893280029297,475.87146759033203
case_189,252.11775970458984,678.2273178100586,171.61766815185547,514.4288558959961,673.2421951293945,186.1130828857422,593.3783264160156,607.6203536987305
case_190,1321.442798614502,1834.3360328674316,1082.2346305847168,7608.47234916687,1656.499282836914,1228.2253913879395,7684.426620483398,1475.3403930664062
case_191,1851.7436187608741,1385.2700476831983,1646.9197674531915,4804.163184647157,1318.1338844425763,1787.5060793191367,4768.138305323889,1082.492280741478
case_192,2068.9189453125,2188.423828125,1826.5078125,8486.0595703125,1919.197265625,2107.37109375,8617.05615234375,1641.38818359375
case_193,566.0500183105469,782.9459915161133,487.5790481567383,2540.779670715332,726.8462905883789,520.4397506713867,2537.3571853637695,603.8224716186523
case_194,499.1729736328125,537.6739501953125,417.108154296875,989.569091796875,517.9412841796875,387.5396728515625,1003.0731201171875,387.5152587890625
case_195,1193.8539725727933,783.7653945088304,1081.528732802232,5675.078705340654,725.5533147320918,1177.4768405894695,5530.188382516502,533.7312877509729
case_196,1298.818588256836,712.2564315795898,1197.3810195922852,3485.3553771972656,609.9176406860352,1305.3512573242188,3421.168327331543,464.23912048339844
case_197,376.55859375,554.501953125,280.6796875,2184.154296875,527.88671875,306.1171875,2171.8125,458.330078125
case_198,3373.9328384399414,3330.9364318847656,3099.0076065063477,11306.73885345459,2671.942710876465,3626.0366439819336,10658.102035522461,2296.323776245117
case_199,1635.90221118927,1677.5858449935913,1435.7755379676819,4145.082140922546,1554.2323751449585,1589.1212005615234,4255.049279212952,1365.4998383522034
