case,GT_sub_fat_mean_hu,GT_muscle_mean_hu,JF_sub_fat_mean_hu,JF_vis_fat_mean_hu,JF_muscle_mean_hu,TS_sub_fat_mean_hu,TS_vis_fat_mean_hu,TS_muscle_mean_hu
case_558,-57.727475731981244,11.59565904281248,-80.77843772731997,-19.539266180582377,26.309025518441178,-73.21620845021327,-18.287080515169144,37.81129648309551
case_559,-72.73358802376146,11.444517263080229,-72.5403708711609,-17.03684031011317,31.20551781862666,-66.7968195850384,-16.001647646598787,35.849048544143805
case_560,-86.30306015851271,4.1618754692870565,-95.74786706555311,-21.098191504783994,24.441096082630207,-90.2536429971178,-19.72932865348046,28.59144798722557
case_561,-75.84628093765848,29.117415373026674,-88.2272515532014,-19.784626009076327,37.32462897258485,-81.33553937253441,-19.37895866403368,42.26947055513584
case_562,-63.895529851361374,42.891048583355,-95.40841906520676,-20.28202076296785,46.21290527980951,-88.90134817799287,-19.284445812209462,49.44981597165383
case_563,-98.38709135731895,12.626862947236978,-93.25156379038259,-19.51472462762042,26.276973352570007,-87.11167254976623,-18.952346333204392,30.170036434026034
case_564,-73.66270105793134,27.619094869418007,-82.83979078487181,-20.761534320918468,42.55255940106257,-76.68330516557621,-20.652231240294178,43.526301684730235
case_565,-95.4635755879505,11.8848153637639,-102.14947616771737,-19.90333849822918,23.42845021463339,-95.48465444333785,-19.897119654113972,32.264222839565306
case_566,-101.46376390558726,4.797494670367704,-103.86003147087919,-22.777125124572017,10.424182857267146,-99.30918170088907,-22.89018794967489,17.905019730200973
case_567,-123.17019326254679,25.849713488397295,-74.25625245883212,-20.711230422881947,35.94128669120739,-70.28441146138758,-19.61504900557743,37.82244188606838
case_568,-92.89215517927369,11.929888494000082,-96.419165849378,-21.522056897041292,26.768713475854554,-90.5576638999056,-21.183345577895505,30.620909518877696
case_569,-74.8101483380258,26.65733746187178,-75.86691953711143,-16.587811152384614,40.16348505870094,-71.64823078426873,-16.28813371590118,43.51210463240894
case_570,-86.23329846184023,3.794536374478235,-92.00272646320732,-18.31536002785671,10.47252432975707,-84.61264732078129,-18.0873130215444,20.386779367143475
case_571,-75.26055279464998,28.60804582675529,-80.85585823319259,-19.41940623671223,39.54531688209344,-74.81684637533782,-18.86742510428517,42.608438386517385
case_572,-87.56274679825081,14.820877047095053,-94.99034346892309,-20.88015164287501,25.75642563968599,-88.73255236252386,-20.728008893210667,28.617161017967813
case_573,-65.8739043062201,22.620834228043805,-66.22848101265822,-13.487631677953349,34.42977261316412,-60.68888567197087,-11.933833104807315,36.537229348646264
case_574,-89.01184886280264,37.94734850424797,-55.55203724366127,-18.27598520186585,41.31036765397273,-47.25670172359418,-13.48725425716527,44.22829885082865
case_575,-89.94725510737231,22.72352967821848,-92.17919088007528,-20.60433597643261,28.595407015592148,-84.94183401420172,-19.7112626580544,33.23719328703704
case_576,-90.33701295104952,6.0162917491962755,-94.78414089525798,-20.81046866297478,19.363952238630173,-89.54399934372783,-20.331374123946766,26.53701910555804
case_577,-95.04105700023692,22.787070333907568,-99.91941907471178,-21.81066031318473,26.952825218990814,-95.4017749955502,-21.213300391187975,35.969431507572466
case_578,-84.27605043701388,29.953907398045622,-88.01611514538071,-18.12571287302031,39.83159604121385,-82.17084794250528,-17.628024632702843,40.9621220371766
case_579,-83.80179263389232,17.85402959394988,-93.99407329992586,-22.764496310625777,29.35750690629171,-89.90331433870269,-22.021287181774035,29.497223033568083
case_580,-81.68784962158605,-1.2255797943649647,-93.37363029758089,-20.976118957982894,18.10380234237125,-86.33702693823916,-20.41388054673897,28.342442856545905
case_581,-77.95238358354975,33.70787045383993,-88.45491477632301,-21.441522048157115,47.89128953907633,-85.28010736464273,-20.986750767963798,49.89896123767426
case_582,-69.05207273788524,24.62632022480158,-93.34772515051306,-21.84342462326065,35.62468110480663,-87.72147152115124,-20.705101398392515,39.85416090682887
case_583,-90.56987824646632,9.076524531613456,-90.87032469946709,-19.785033527004927,17.997516798768892,-83.9007476063042,-19.356052130606205,24.158018727557682
case_584,-88.58729537004886,28.341915908325333,-95.45618975181863,-18.87674526033958,37.05349987459828,-91.16866793467007,-18.009819706926613,42.89569391589951
case_585,-76.72853653954537,18.028009261569476,-88.65630618856387,-20.099645363421974,31.019930623904745,-82.54371957156768,-19.381705844804618,34.66524088973634
case_586,-91.23992325631399,8.21554186196145,-101.38457452494855,-21.085025216150953,15.262999990414754,-92.92745676606879,-19.927591586231564,28.21159757414638
case_587,-80.375937078879,11.141280109140746,-86.40075337358796,-18.693546964216726,28.271180582744478,-80.54398436111605,-17.851764776803208,32.907964438325344
case_588,-75.96275392151354,24.606260746244306,-79.86736433652771,-19.047457068251962,39.6374670950975,-73.72676634571971,-18.38938606358416,42.03634798278106
case_589,-87.9835040214945,18.94592063219585,-90.09925203028533,-17.89592997609426,29.275451840919942,-84.45355388095615,-17.220690591908557,32.27703190252401
