case,dice_fat,dice_muscle
case_098,0.8628279448434603,0.9210262944822735
case_099,0.91558665862277,0.8723432373429705
case_100,0.9049876135217902,0.9272543053381143
case_101,0.8897808185406096,0.8095643264799322
case_102,0.9203813025215858,0.8314302632493713
case_103,0.9292685395727325,0.8925335762055074
case_104,0.9183456663252048,0.8813571636152281
case_105,0.9249320886132302,0.9205998807137057
case_106,0.9088353306791771,0.8100664620888526
case_107,0.9108614904000658,0.9235606306006181
case_108,0.9311787362591665,0.9051543879839494
case_109,0.9306163813996848,0.9078709835547868
case_110,0.923809001875335,0.8863878626056899
case_111,0.8591258812100306,0.9064322862492199
case_112,0.916186122624871,0.8820152354663076
case_113,0.8909416715385365,0.8785983801780747
case_114,0.9343421439272792,0.8745599287626028
case_115,0.8791635452415637,0.9097390341276446
case_116,0.9272170675517106,0.8917861187555652
case_117,0.9159286575352868,0.9030486981256506
case_118,0.8158668616208579,0.9169679254274535
case_119,0.9029593824541986,0.9286967705195738
case_120,0.8738636770191992,0.8853869371496622
case_121,0.9151803606888985,0.8992345219389367
case_122,0.939591851860264,0.8905849067249899
case_123,0.8106896290114559,0.8715404101480454
case_124,0.947486059265404,0.8649206568871667
case_125,0.8006786919021552,0.9147788626734781
case_126,0.8669606163357736,0.8979209680294917
case_127,0.9119350283831603,0.9070428528873569
case_128,0.8210541092118476,0.9164997320802934
case_129,0.8870655469299583,0.8569188931700463
case_130,0.9071857327862813,0.8799755907322135
case_131,0.9334649332490271,0.9112478760335282
case_132,0.9429353263136987,0.9077546140391068
case_133,0.8917013003267,0.8762051390953494
case_134,0.9250782753829954,0.9054595602282562
case_135,0.9383125242148151,0.8952040859416365
case_136,0.8585048177842153,0.9222007301607634
case_137,0.8735482058310964,0.8800092777674982
case_138,0.9301464237097231,0.916215749304343
case_139,0.9008441741473459,0.9018398810224997
case_140,0.9409700294993133,0.8792365705721875
case_141,0.945883843589576,0.9071586154050338
case_142,0.9044811709142169,0.8838855462688192
case_143,0.8963580775472603,0.7515392776212592
case_144,0.9073397055548822,0.9008576634226547
case_145,0.9398912644388013,0.8982649096340938
case_146,0.8909785499765586,0.8825910742786415
case_147,0.9392366640127389,0.9207745763400659
case_148,0.8399069373121192,0.9301570337968543
case_149,0.9350577936963815,0.9158563308116021
case_150,0.8392643507881086,0.8922506802155638
case_151,0.8889165175783982,0.9227681297169366
case_152,0.866996024678148,0.9255634701633546
case_153,0.871212946076163,0.8529505083036696
case_154,0.8299280257192913,0.9100921235050985
case_155,0.860149772203184,0.8846155987772216
case_156,0.8440510670699889,0.9114487528003085
case_157,0.7971234916188787,0.9153824490107466
case_158,0.8043484057445458,0.8666286115434662
case_159,0.9237158293052404,0.8918119428221402
case_160,0.86809827106325,0.8849859423775934
case_161,0.8993909758052304,0.929897863228939
case_162,0.8359386918382914,0.9146803682612701
case_163,0.9300791652141713,0.9073161116870933
case_164,0.9179244666393334,0.8872118321580638
case_165,0.8701093422794618,0.9270805683609514
case_166,0.8350288364678925,0.8956342599682833
case_167,0.7855137392991071,0.9356611062290131
case_168,0.832914717493108,0.9102958579881657
case_169,0.8251404138130957,0.9126283712296396
case_170,0.8391312155832037,0.9039013594259976
case_171,0.7853665183032065,0.9199212757054968
