case,dice_fat,dice_muscle
case_059,0.9042059295046172,0.8170064394651206
case_060,0.9097319321579312,0.7468065047845126
case_061,0.8795956839281481,0.8071233617938904
case_062,0.9227002136668059,0.8243200614803843
case_063,0.8441804520527979,0.758978791168034
case_064,0.9041357596759412,0.8566801619433199
case_065,0.9075829250038833,0.7708776606754039
case_066,0.9216535109231767,0.7961041799778055
case_067,0.92985878240052,0.886810032740542
case_068,0.8742826102795042,0.806853611513413
case_069,0.8960654199661937,0.8428564987268256
case_070,0.9061620518171545,0.8075288317798616
case_071,0.8999383158710846,0.8335119302757537
case_072,0.9058452518432974,0.8256891098056937
case_073,0.9056148451601962,0.8654510091684509
case_074,0.9159178001333901,0.8759676107588271
case_075,0.897535998189482,0.8802233762704876
case_076,0.8721652087102536,0.8358412532284475
case_077,0.9223671755143786,0.8767825654053198
case_078,0.8883508242061237,0.7999721717905777
case_079,0.9059640512699144,0.7949004376350569
case_080,0.8921794898786277,0.8593640573629919
case_081,0.9279033072338871,0.7806930633107642
case_082,0.8142231024180431,0.6980641153939059
case_083,0.8648120427883014,0.8547706566882466
case_084,0.9153633415453826,0.803949027488848
case_085,0.8489364544523446,0.7910161162677988
case_086,0.937880741924565,0.8636417682511113
case_087,0.9245913315767491,0.8152845375752527
case_088,0.8771852983651955,0.772069169570649
case_089,0.8613298788696493,0.836761565397007
case_090,0.910085192586147,0.8671901386924606
case_091,0.8801333558152852,0.7979564886819885
case_092,0.9046631318576241,0.7001530440196104
case_093,0.9043704474505723,0.8671233701505917
case_094,0.9068646740565087,0.7680924855491329
case_095,0.8030619986388637,0.7616348666748948
case_096,0.8647407286215091,0.7987543892231345
case_097,0.9016916845365738,0.8345333462021041
case_098,0.8640412564463197,0.8745224936284757
case_099,0.8899740568765802,0.8022234815791605
case_100,0.7869015276048724,0.7918650126040454
case_101,0.8448105625870963,0.7138105211284957
case_102,0.8932608244391923,0.7628127993868558
case_103,0.9179738052451889,0.8472946342896496
case_104,0.8916415262646207,0.8271369744918453
case_105,0.9098912204457329,0.8551267936985566
case_106,0.8856912954148516,0.7606842885375494
case_107,0.8937471897924779,0.8741537735801713
case_108,0.8981066938937857,0.8336958293009814
case_109,0.9150120340643976,0.7890393573286579
case_110,0.9053719925462119,0.8258785342673214
case_111,0.8190823120717938,0.8291320295951203
case_112,0.8783417696663406,0.8160539233224093
case_113,0.8636851639398117,0.8100664533595865
case_114,0.8856747969127463,0.7857199445434739
case_115,0.8480474584692947,0.828828213435341
case_116,0.9168039142084212,0.8521153480378002
case_117,0.8999918974064335,0.8088313814829317
case_118,0.7220476290243732,0.8340586333437922
case_119,0.8933295826575134,0.8657524524271298
case_120,0.8570327494054947,0.7995962783359243
case_121,0.9007943692572308,0.8486903142092995
case_122,0.9223940811031626,0.8417067750296962
case_123,0.8039274158677143,0.8012650328421987
case_124,0.9326440344446283,0.8130012016577973
case_125,0.7898479702778475,0.8658819894964473
case_126,0.8572758314018054,0.8746885242759388
case_127,0.8817472059060482,0.8179767893578115
case_128,0.82,0.8773826039342318
case_129,0.8740997805066144,0.8144935161598726
case_130,0.8546571504871219,0.8007105825198114
case_131,0.926200994761155,0.8570665213232662
case_132,0.902133288560251,0.8309745075393143
case_133,0.851232298531961,0.8001031557355182
case_134,0.9106960183401925,0.8559442477551906
case_135,0.9205386577097717,0.840293529632904
case_136,0.8344879092806794,0.8381047211277223
case_137,0.8408554719251,0.8307446720928318
case_138,0.9173682564702865,0.8524986774581588
case_139,0.8746731597905785,0.8022560842603845
case_140,0.917918333741427,0.7888443660843084
case_141,0.9358526149839032,0.8196418098975955
case_142,0.8960111872786116,0.8036224911109746
case_143,0.8917867014942056,0.6854430106598766
case_144,0.9098193136120751,0.8533798422616584
case_145,0.9252343023769286,0.8590774941920626
case_146,0.8712770673735639,0.8434067841831532
case_147,0.9309767060711525,0.8300197453530332
case_148,0.8280250004682905,0.8874881731320211
case_149,0.9155623955286064,0.8190685867674176
case_150,0.8124327909536768,0.8652044811304354
case_151,0.8512869980287171,0.8705738317193513
case_152,0.844552765563527,0.8975210633159346
case_153,0.8728375339999933,0.8411883803244303
case_154,0.7849265824591152,0.8872009728070116
case_155,0.8229401811257911,0.8355750602933618
case_156,0.8221164704748878,0.8809769737863076
case_157,0.8153872574274429,0.8810685516003389
case_158,0.744242848945559,0.8240286700025896
case_159,0.8985394328913344,0.8472989216847463
case_160,0.8384903965885676,0.8340142391903105
case_161,0.8845345472174763,0.9031218155800793
case_162,0.8022146612509011,0.8676531133178532
case_163,0.9049549978592427,0.8395747256956796
case_164,0.8473983058735921,0.7191059422558467
case_165,0.8673822004049144,0.8668152156613083
case_166,0.8056193068908876,0.8562359039537463
case_167,0.7770298411111806,0.8849394774479367
case_168,0.8102806725912666,0.8634780952419344
case_169,0.8063121783876501,0.8283295489585961
case_170,0.8169459853829968,0.8256994432585626
case_171,0.7663989928853453,0.8435513165965838
case_172,0.8692480459264281,0.8806171704401793
case_173,0.8270579058663337,0.8479448117275079
case_174,0.8260086078851775,0.8557351202207332
case_175,0.8704901374459505,0.7925338182510189
case_176,0.8507880260656122,0.8647964894998433
case_177,0.8644884591755453,0.8276945866743954
case_178,0.8816521998677989,0.8052098956794219
case_179,0.8611175412832484,0.8532341648094944
case_180,0.8704770557293812,0.8598259777285365
case_181,0.892206914561725,0.8571132453534167
case_182,0.8434776637965367,0.844887877803055
case_183,0.8785879881813875,0.824947003467063
case_184,0.8437309077645557,0.8217790357809575
case_185,0.8526893141825839,0.8090749730836951
case_186,0.8181440995771164,0.8742966586251448
case_187,0.8898305895773639,0.8783814583004611
case_188,0.8115331031558544,0.8062981944035066
case_189,0.7375010212867584,0.92148924959196
case_190,0.816450058370818,0.8718738878126645
case_191,0.8897072229321732,0.8643143357709092
case_192,0.8441880678242899,0.8401654627966885
case_193,0.8167813880231647,0.8534592146773612
case_194,0.7937416970105796,0.8160281825798408
case_195,0.8912401782655556,0.7974829309495319
case_196,0.8838160597948489,0.775052790713698
case_197,0.7783881211913141,0.8849335673101028
case_198,0.8258937329700272,0.8001935393120372
case_199,0.880051561581579,0.8789583512516669
case_200,0.8500916840285765,0.8443207377712375
case_201,0.8230694208921652,0.8420490232064929
case_202,0.8607519195370273,0.8441053401154199
case_203,0.7864964369551807,0.9074406831607229
case_204,0.8018879416801821,0.8855007362107454
case_205,0.8314219423268148,0.8741063276915514
case_206,0.8225871480743525,0.8907446807308621
case_207,0.8836307879953252,0.7639728743848998
case_208,0.883805686345527,0.8540148038300756
case_209,0.8422580322290061,0.7953290358856959
case_210,0.8541920382521164,0.8264597872860339
case_211,0.7183862825844821,0.835515118571078
case_212,0.8174222892955207,0.8201491250363055
case_213,0.7771606832791682,0.918626552587834
case_214,0.8842987611497011,0.8424747917995214
case_215,0.878060687472112,0.8854042357820168
case_216,0.8251071906594778,0.8615193016723826
case_217,0.8751655719215131,0.7918950513053643
case_218,0.7948602053335055,0.8804310665629945
case_219,0.8685068160889234,0.8754699381091632
case_220,0.869475625435608,0.8389079806478323
case_221,0.8836661154269096,0.8525591220062424
case_222,0.6410933102640195,0.8911730828248366
case_223,0.79492363382678,0.8723248454466168
case_224,0.8575688226545665,0.7994283500954976
case_225,0.8512503158537663,0.887835532790904
case_226,0.8909921506271926,0.8825046641537349
case_227,0.8772600383419739,0.8773817669816039
case_228,0.8551426742982913,0.8758219471101792
case_229,0.8065591903326604,0.867647290547248
case_230,0.8912699741429023,0.8898561851794274
case_231,0.8875493676633487,0.8829415604444476
case_232,0.8213312309944814,0.8996491911408591
